InstituteNo,year,institute_type,round_no,quota,pool,institute_short,program_name,program_duration,degree_short,category,opening_rank,closing_rank
31,2016,NIT,6,OS,Gender-Neutral,NIT-Warangal,Chemical Engineering,4 Years,B.Tech,GEN,5832,12482
28,2016,NIT,6,OS,Gender-Neutral,NIT-Surat,Chemical Engineering,4 Years,B.Tech,GEN,11084,19841
28,2016,NIT,6,OS,Gender-Neutral,NIT-Surat,Chemistry,5 Years,Int Msc.,GEN,22058,36809
20,2016,NIT,6,OS,Gender-Neutral,NIT-Nagpur,Chemical Engineering,4 Years,B.Tech,GEN,11312,21279
20,2016,NIT,6,OS,Gender-Neutral,NIT-Nagpur,Mining Engineering,4 Years,B.Tech,GEN,21292,27673
3,2016,NIT,6,OS,Gender-Neutral,NIT-Andhra-Pradesh,Chemical Engineering,4 Years,B.Tech,GEN,25562,28411
12,2019,NIT,7,OS,Gender-Neutral,NIT-Jalandhar,Chemical Engineering,4 Years,B.Tech,GEN,16533,31792
12,2019,NIT,7,OS,Female-Only,NIT-Jalandhar,Chemical Engineering,4 Years,B.Tech,GEN,34754,39781
11,2019,NIT,7,OS,Gender-Neutral,NIT-Jaipur,Chemical Engineering,4 Years,B.Tech,GEN,15114,20964
11,2019,NIT,7,OS,Female-Only,NIT-Jaipur,Chemical Engineering,4 Years,B.Tech,GEN,23097,29138
5,2019,NIT,7,OS,Gender-Neutral,NIT-Bhopal,Chemical Engineering,4 Years,B.Tech,GEN,20973,25825
5,2019,NIT,7,OS,Female-Only,NIT-Bhopal,Chemical Engineering,4 Years,B.Tech,GEN,30675,32960
2,2019,NIT,7,OS,Gender-Neutral,NIT-Allahabad,Chemical Engineering,4 Years,B.Tech,GEN,15751,18983
2,2019,NIT,7,OS,Female-Only,NIT-Allahabad,Chemical Engineering,4 Years,B.Tech,GEN,19797,21634
1,2019,NIT,7,OS,Gender-Neutral,NIT-Agartala,Chemical Engineering,4 Years,B.Tech,GEN,28078,38402
1,2019,NIT,7,OS,Female-Only,NIT-Agartala,Chemical Engineering,4 Years,B.Tech,GEN,49350,49977
1,2019,NIT,7,OS,Gender-Neutral,NIT-Agartala,Chemistry,5 Years,BSc + MSc (IDD),GEN,43418,47364
6,2019,NIT,7,OS,Gender-Neutral,NIT-Calicut,Chemical Engineering,4 Years,B.Tech,GEN,16517,23362
6,2019,NIT,7,OS,Female-Only,NIT-Calicut,Chemical Engineering,4 Years,B.Tech,GEN,21212,29238
8,2019,NIT,7,OS,Gender-Neutral,NIT-Durgapur,Chemical Engineering,4 Years,B.Tech,GEN,18667,27965
8,2019,NIT,7,OS,Female-Only,NIT-Durgapur,Chemical Engineering,4 Years,B.Tech,GEN,29133,38513
8,2019,NIT,7,OS,Gender-Neutral,NIT-Durgapur,Chemical Engineering,5 Years,Btech + M.Tech (IDD),GEN,30154,30154
8,2019,NIT,7,OS,Gender-Neutral,NIT-Durgapur,Chemistry,5 Years,Int Msc.,GEN,32666,42981
8,2019,NIT,7,OS,Female-Only,NIT-Durgapur,Chemistry,5 Years,Int Msc.,GEN,41028,41028
10,2019,NIT,7,OS,Gender-Neutral,NIT-Hamirpur,Chemical Engineering,4 Years,B.Tech,GEN,27710,30991
10,2019,NIT,7,OS,Female-Only,NIT-Hamirpur,Chemical Engineering,4 Years,B.Tech,GEN,26337,39243
14,2019,NIT,7,OS,Gender-Neutral,NIT-Karnataka-Surathkal,Chemical Engineering,4 Years,B.Tech,GEN,10295,13820
14,2019,NIT,7,OS,Female-Only,NIT-Karnataka-Surathkal,Chemical Engineering,4 Years,B.Tech,GEN,15680,20121
14,2019,NIT,7,OS,Gender-Neutral,NIT-Karnataka-Surathkal,Mining Engineering,4 Years,B.Tech,GEN,21703,27212
14,2019,NIT,7,OS,Female-Only,NIT-Karnataka-Surathkal,Mining Engineering,4 Years,B.Tech,GEN,29945,35850
21,2019,NIT,7,OS,Gender-Neutral,NIT-Patna,Chemistry,5 Years,Int Msc.,GEN,42918,45580
21,2019,NIT,7,OS,Female-Only,NIT-Patna,Chemistry,5 Years,Int Msc.,GEN,44286,45940
23,2019,NIT,7,OS,Gender-Neutral,NIT-Raipur,Chemical Engineering,4 Years,B.Tech,GEN,27332,32930
23,2019,NIT,7,OS,Female-Only,NIT-Raipur,Chemical Engineering,4 Years,B.Tech,GEN,30632,32446
23,2019,NIT,7,OS,Gender-Neutral,NIT-Raipur,Mining Engineering,4 Years,B.Tech,GEN,31586,40458
23,2019,NIT,7,OS,Female-Only,NIT-Raipur,Mining Engineering,4 Years,B.Tech,GEN,45830,48816
24,2019,NIT,7,OS,Gender-Neutral,NIT-Rourkela,Ceramic Engineering,4 Years,B.Tech,GEN,28386,36081
24,2019,NIT,7,OS,Female-Only,NIT-Rourkela,Ceramic Engineering,4 Years,B.Tech,GEN,39484,41990
24,2019,NIT,7,OS,Gender-Neutral,NIT-Rourkela,Chemical Engineering,4 Years,B.Tech,GEN,13543,18067
24,2019,NIT,7,OS,Female-Only,NIT-Rourkela,Chemical Engineering,4 Years,B.Tech,GEN,16534,19008
24,2019,NIT,7,OS,Gender-Neutral,NIT-Rourkela,Mining Engineering,4 Years,B.Tech,GEN,23454,30004
24,2019,NIT,7,OS,Female-Only,NIT-Rourkela,Mining Engineering,4 Years,B.Tech,GEN,42768,42776
24,2019,NIT,7,OS,Gender-Neutral,NIT-Rourkela,Chemical Engineering,5 Years,Btech + M.Tech (IDD),GEN,16184,21875
24,2019,NIT,7,OS,Gender-Neutral,NIT-Rourkela,Mining Engineering,5 Years,Btech + M.Tech (IDD),GEN,27575,32366
