InstituteNo,year,institute_type,round_no,quota,pool,institute_short,program_name,program_duration,degree_short,category,opening_rank,closing_rank
29,2016,NIT,6,OS,Gender-Neutral,NIT-Tiruchirappalli,Instrumentation and Control Engineering,4 Years,B.Tech,GEN,3207,10717
30,2016,NIT,6,OS,Gender-Neutral,NIT-Uttarakhand,Electrical and Electronics Engineering,4 Years,B.Tech,GEN,19606,26626
30,2016,NIT,6,OS,Gender-Neutral,NIT-Uttarakhand,Electronics and Communication Engineering,4 Years,B.Tech,GEN,15153,24407
31,2016,NIT,6,OS,Gender-Neutral,NIT-Warangal,Electrical and Electronics Engineering,4 Years,B.Tech,GEN,2176,4595
31,2016,NIT,6,OS,Gender-Neutral,NIT-Warangal,Electronics and Communication Engineering,4 Years,B.Tech,GEN,501,2846
28,2016,NIT,6,OS,Gender-Neutral,NIT-Surat,Electrical Engineering,4 Years,B.Tech,GEN,7962,11217
28,2016,NIT,6,OS,Gender-Neutral,NIT-Surat,Electronics and Communication Engineering,4 Years,B.Tech,GEN,5569,8286
20,2016,NIT,6,OS,Gender-Neutral,NIT-Nagpur,Electrical and Electronics Engineering,4 Years,B.Tech,GEN,4872,8898
20,2016,NIT,6,OS,Gender-Neutral,NIT-Nagpur,Electronics and Communication Engineering,4 Years,B.Tech,GEN,1853,5610
3,2016,NIT,6,OS,Gender-Neutral,NIT-Andhra-Pradesh,Electrical and Electronics Engineering,4 Years,B.Tech,GEN,14030,23648
3,2016,NIT,6,OS,Gender-Neutral,NIT-Andhra-Pradesh,Electronics and Communication Engineering,4 Years,B.Tech,GEN,8366,18013
12,2019,NIT,7,OS,Gender-Neutral,NIT-Jalandhar,Electrical Engineering,4 Years,B.Tech,GEN,15360,18057
12,2019,NIT,7,OS,Female-Only,NIT-Jalandhar,Electrical Engineering,4 Years,B.Tech,GEN,24383,25828
12,2019,NIT,7,OS,Gender-Neutral,NIT-Jalandhar,Electronics and Communication Engineering,4 Years,B.Tech,GEN,9380,15011
12,2019,NIT,7,OS,Female-Only,NIT-Jalandhar,Electronics and Communication Engineering,4 Years,B.Tech,GEN,18750,21245
12,2019,NIT,7,OS,Gender-Neutral,NIT-Jalandhar,Instrumentation and Control Engineering,4 Years,B.Tech,GEN,20669,30299
12,2019,NIT,7,OS,Female-Only,NIT-Jalandhar,Instrumentation and Control Engineering,4 Years,B.Tech,GEN,26066,39922
11,2019,NIT,7,OS,Gender-Neutral,NIT-Jaipur,Electrical Engineering,4 Years,B.Tech,GEN,8982,13357
11,2019,NIT,7,OS,Female-Only,NIT-Jaipur,Electrical Engineering,4 Years,B.Tech,GEN,12250,19543
11,2019,NIT,7,OS,Gender-Neutral,NIT-Jaipur,Electronics and Communication Engineering,4 Years,B.Tech,GEN,7445,9208
11,2019,NIT,7,OS,Female-Only,NIT-Jaipur,Electronics and Communication Engineering,4 Years,B.Tech,GEN,10271,14157
5,2019,NIT,7,OS,Gender-Neutral,NIT-Bhopal,Electrical Engineering,4 Years,B.Tech,GEN,13422,15602
5,2019,NIT,7,OS,Female-Only,NIT-Bhopal,Electrical Engineering,4 Years,B.Tech,GEN,20791,23686
5,2019,NIT,7,OS,Gender-Neutral,NIT-Bhopal,Electronics and Communication Engineering,4 Years,B.Tech,GEN,8642,12504
5,2019,NIT,7,OS,Female-Only,NIT-Bhopal,Electronics and Communication Engineering,4 Years,B.Tech,GEN,12886,16571
2,2019,NIT,7,OS,Gender-Neutral,NIT-Allahabad,Electrical Engineering,4 Years,B.Tech,GEN,3330,10445
2,2019,NIT,7,OS,Female-Only,NIT-Allahabad,Electrical Engineering,4 Years,B.Tech,GEN,12655,15263
